T,Q,CA,TA,HA,CB,TB,HB,C,F,F_licor,UF
05/21/2024 13:14,3.43760925858586e-05,754.404885176548,22.2742424242424,5,798.820302510042,22.4368686868687,5,867.690383610059,0.547051041948607,0,5.96016694913074
05/21/2024 13:15,3.43601374545454e-05,754.986985758205,22.2806818181818,5,809.69602178397,22.4276515151515,5,885.271510176226,0.677741562049079,0.211678001027708,7.34148083290465
05/21/2024 13:16,3.43477159386364e-05,754.926934116356,22.2828787878788,5,819.731435945791,22.4237878787879,5,900.937038682264,0.798279964591785,0.400147357229719,8.69620449327429
05/21/2024 13:17,3.43355478787879e-05,753.912301575675,22.2866666666667,5,840.950145176164,22.4133333333333,5,932.543006750098,1.05328908872864,0.780271350975199,11.6797257822829
05/21/2024 13:18,3.43241274833333e-05,754.227452592098,22.2898484848485,5,858.914179821603,22.4193939393939,5,958.777855713254,1.2690003204716,1.09555021526391,14.0480527721405
05/21/2024 13:19,3.43107122833333e-05,753.360787296933,22.2948484848485,5,874.061785131963,22.4210606060606,5,980.49750614854,1.45062023872521,1.35625198919937,16.197028944744
05/21/2024 13:20,3.43153996712121e-05,751.344973783344,22.2881818181818,5,888.031355045924,22.4327272727273,5,998.279843428709,1.61879402756219,1.57025910244933,18.3421287472707
05/21/2024 13:21,3.43206240265152e-05,750.670473742096,22.2934848484849,5,900.732426094479,22.4401515151515,5,1012.9559584582,1.77178641358358,1.74699642166013,20.1370143910143
05/21/2024 13:22,3.43296629265152e-05,752.086731663464,22.3051515151515,5,909.975782327663,22.4468181818182,5,1025.06130843342,1.88344499675316,1.89307652016739,21.1873431125116
05/21/2024 13:23,3.4339031505303e-05,751.369955266353,22.3119696969697,5,916.203689593953,22.4374242424242,5,1035.01332883787,1.95889737168219,2.01334256538275,22.1192594433116
05/21/2024 13:24,3.43489249674242e-05,751.796562130049,22.3083333333333,5,923.233706285437,22.4312121212121,5,1043.42550100582,2.04407602720469,2.11517272596275,23.005379787077
05/21/2024 13:25,3.43562971924242e-05,753.656721787965,22.3116666666667,5,929.292748409581,22.4262121212121,5,1050.2466927902,2.11745788233894,2.19774515035366,23.568833408654
05/21/2024 13:26,3.43688813787879e-05,755.345854369895,22.3080303030303,5,933.685252404689,22.4137878787879,5,1055.77749572369,2.17113299036114,2.26515835337565,23.9316024141328
05/21/2024 13:27,3.43753085659091e-05,754.114075092287,22.2889393939394,5,937.430440021571,22.4084848484849,5,1060.21698146643,2.21665123743416,2.31905727299317,24.5994682213113
05/21/2024 13:28,3.43665730075758e-05,755.297813056416,22.2806060606061,5,943.445255560867,22.4101515151515,5,1064.02901252791,2.28852030143674,2.3643736657072,25.2477569470662
05/21/2024 13:29,3.43527872287879e-05,755.780147843747,22.2875757575758,5,945.061536207122,22.4130303030303,5,1066.96417783349,2.30705825614765,2.39875725987811,25.3999226498432
05/21/2024 13:30,3.43406346613636e-05,754.644451193098,22.2981818181818,5,944.50066269928,22.4263636363636,5,1069.35945925642,2.29949299269931,2.42673166840275,25.4770589316207
05/21/2024 13:31,3.43283442113636e-05,753.439575051039,22.2965151515152,5,944.854475378062,22.4480303030303,5,1071.37307487928,2.30292599624658,2.45008478649078,25.6862214576825
05/21/2024 13:32,3.43155638909091e-05,752.980300094178,22.3006060606061,5,946.925083668662,22.4666666666667,5,1073.00264702169,2.32696655391332,2.46876733971982,26.0257098561005
05/21/2024 13:33,3.43165966159091e-05,752.029082087288,22.3021212121212,5,947.926212725671,22.4816666666667,5,1074.27021620922,2.33907497384985,2.48408391997016,26.2876979063339
05/21/2024 13:34,3.43212285409091e-05,752.050220265219,22.2987878787879,5,949.076103931713,22.49,5,1075.23730892602,2.35321978680549,2.49604989128781,26.4391667772669
05/21/2024 13:35,3.43292638416667e-05,752.551771577943,22.2898484848485,5,950.52150913651,22.4933333333333,5,1076.13274669655,2.37115786709039,2.50740571415655,26.5658237872658
05/21/2024 13:36,3.43322086416667e-05,752.966848526403,22.2951515151515,5,951.154753419558,22.4895454545455,5,1076.68437437749,2.3789793759763,2.51425703963133,26.5950999523077
05/21/2024 13:37,3.43363480625e-05,753.435251332826,22.3001893939394,5,950.866778043219,22.4931818181818,5,1077.01094936552,2.37580136534561,2.51848944611842,26.4936005576499
05/21/2024 13:38,3.43404693055556e-05,753.757928821695,22.3032828282828,5,948.570848704816,22.4909090909091,5,1077.2709294909,2.34845919495669,2.52192011674507,26.1422062233779
