T,Q,CA,TA,HA,CB,TB,HB,C,F,F_licor,UF
05/21/2024 12:22,3.42457682474748e-05,751.727382638639,22.2169191919192,5,761.073582442242,22.3234848484848,5,804.927658934852,0.0767165051958548,0,1.2541924724804
05/21/2024 12:23,3.42654415606061e-05,751.859496250707,22.2106060606061,5,759.431000379998,22.3363636363636,5,805.702681972871,0.0570382777379792,0.00930561493993926,1.01604686532288
05/21/2024 12:24,3.42781168424242e-05,752.211639078509,22.2084848484848,5,762.307236119586,22.3381818181818,5,810.012362631317,0.0916067927341809,0.0610740524370016,1.35475411221972
05/21/2024 12:25,3.42933691340909e-05,753.987246024702,22.1984848484848,5,766.752007896787,22.3581818181818,5,818.537050191082,0.145058928208327,0.16353962091135,1.7129303005921
05/21/2024 12:26,3.42978309522727e-05,754.748220430213,22.2033333333333,5,773.578984357834,22.3640909090909,5,830.749527027349,0.22712602708774,0.310333347725927,2.52693202727264
05/21/2024 12:27,3.42908497560606e-05,754.944228989209,22.2089393939394,5,784.862794391948,22.3681818181818,5,845.936725359789,0.362663703980458,0.492756387618183,4.0148164129145
05/21/2024 12:28,3.42766165560606e-05,754.796261743692,22.2206060606061,5,797.644277412953,22.3681818181818,5,862.813130852768,0.516029059144716,0.695251055928304,5.74983531636142
05/21/2024 12:29,3.42620744371212e-05,754.75590704037,22.2289393939394,5,806.674541919143,22.3690909090909,5,877.999024224651,0.624224851315139,0.87727349631178,6.96703329141729
05/21/2024 12:30,3.42547279295455e-05,754.196706151472,22.2377272727273,5,816.826553441017,22.3672727272727,5,890.909589619503,0.745946959262557,1.03205263715464,8.40438475671465
05/21/2024 12:31,3.42614900628788e-05,753.710528059062,22.2377272727273,5,826.998667956004,22.3606060606061,5,901.461049237503,0.86821557129868,1.15893195751122,9.83463496701857
05/21/2024 12:32,3.42689825090909e-05,753.620210389721,22.2321212121212,5,831.326842373152,22.3598484848485,5,910.348721541985,0.920378712786546,1.26590971260174,10.4275582168584
05/21/2024 12:33,3.4279409530303e-05,754.317770261439,22.2439393939394,5,836.591816269347,22.350303030303,5,917.888742059962,0.983900478465397,1.35686397851847,11.0404655081167
05/21/2024 12:34,3.42901934969697e-05,753.768177635237,22.2406060606061,5,842.341272299557,22.3536363636364,5,924.06447018052,1.05329294610304,1.43149567531401,11.8857431414235
05/21/2024 12:35,3.43018719962121e-05,752.403804332427,22.2451515151515,5,846.164861589578,22.3421212121212,5,928.901074411355,1.09960989401361,1.4901175196672,12.5819226839841
05/21/2024 12:36,3.43067291810606e-05,754.204392761628,22.2384848484848,5,848.17516090084,22.3356060606061,5,933.099467926661,1.12393212308917,1.54079890375871,12.6100640643524
05/21/2024 12:37,3.43111497893939e-05,753.99301098232,22.2451515151515,5,851.293135132608,22.3406060606061,5,936.643690138228,1.16156405487521,1.58360928993041,13.056834742792
05/21/2024 12:38,3.42972667181818e-05,754.859676277485,22.235,5,854.342759187792,22.3401515151515,5,939.409984111249,1.19774456339287,1.61621395710379,13.3497688610901
05/21/2024 12:39,3.42847243613636e-05,755.54186292889,22.2372727272727,5,856.111822581703,22.3304545454546,5,941.590345760513,1.21855945318692,1.64181700574831,13.4956182863014
05/21/2024 12:40,3.42690698863636e-05,755.689830174406,22.2422727272727,5,857.57129988168,22.3337878787879,5,943.345625057799,1.23552869274425,1.66214502262542,13.6716115526325
05/21/2024 12:41,3.42559713515151e-05,754.227452592098,22.2522727272727,5,858.568408340066,22.335303030303,5,944.819872083614,1.24702530226353,1.67920593428673,14.0016532350142
05/21/2024 12:42,3.42444301151515e-05,755.290126446259,22.2530303030303,5,858.648820312516,22.3256060606061,5,945.970685286732,1.24757007041235,1.69244940268799,13.8698422135371
05/21/2024 12:43,3.42507321234848e-05,756.199068097286,22.2463636363636,5,857.58738227617,22.3222727272727,5,947.007965463067,1.2350605641296,1.70521002505104,13.6054343591551
05/21/2024 12:44,3.42568702219697e-05,757.567284705175,22.2474242424242,5,859.400672254928,22.325303030303,5,947.947993360938,1.25704842405023,1.71679960346937,13.6651593434829
05/21/2024 12:45,3.42660553704545e-05,758.553092457769,22.2451515151515,5,856.336976104565,22.3225757575758,5,949.047154756568,1.22059935509256,1.7304576659843,13.121751065092
05/21/2024 12:46,3.42722449037879e-05,759.144961439833,22.2418181818182,5,855.386104530338,22.3225757575758,5,949.691508491247,1.20940055846551,1.73850846070148,12.914728673138
05/21/2024 12:47,3.42799585818182e-05,758.082287585672,22.2377272727273,5,856.278677424538,22.3256060606061,5,950.206551835093,1.22039432242079,1.74508643580394,13.1771058168678
05/21/2024 12:48,3.42837991537879e-05,755.015330133158,22.2563636363636,5,860.297265747751,22.3293939393939,5,950.815976506544,1.26880764062962,1.75260316150654,14.1279245696268
05/21/2024 12:49,3.42852474630682e-05,753.538540156806,22.2600378787879,5,858.965945028868,22.3284090909091,5,951.104685517436,1.25286698250309,1.75614570021373,14.1474452817729
05/21/2024 12:50,3.42850885366162e-05,752.78108878095,22.2588383838384,5,863.548589833833,22.3257575757576,5,951.165342749177,1.3079160276296,1.75686628193435,14.8640398536296
